date,stock_code,closing_price,volume,transaction_count,large_order_net_inflow
2023-06-15,REEI,9.21,24509800,149,-401556.0
2023-06-15,TTEI,14.59,5883600,30,-4714029.0
2023-06-15,CPEI,10.67,12622400,99,-27546739.0
2023-06-15,IEEI,11.0,24912600,235,-8376500.0
2023-06-15,TLEI,11.37,5743100,95,-14022621.0
2023-06-15,MEI,9.38,16169200,167,-12787754.0
2023-06-15,CGEI,9.6,17964800,132,-34344960.0
2023-06-15,EREI,11.9,10157600,80,-12120150.0
2023-06-15,TSEI,5.56,11322000,78,-8580748.0
2023-06-15,FSEI,10.59,15151000,170,10754145.0
